B0_G,Delta_G,a_bg_re,a_bg_im,a_res_re,a_res_im,Gamma_inel_G,ifconv_used,channel,L,status,dipole_dipole,aniso_vdw,hyperfine,lmax,run_label,field_center_guess,reason
101.503058,2.8159,35.777,-8.6592,24.138,11.798,-8.3474,3.0,19,0,ok,False,True,True,4,V0V2_full_scan,,
,,,,,,,,13,0,failed,False,True,True,4,V0V2_full_scan,260.0,|Im(a)| peak = 1.67
385.230174,1.3061,41.825,-1.6673,15.357,-3.6057,-7.1146,3.0,13,0,ok,False,True,True,4,V0V2_full_scan,,
,,,,,,,,8,0,failed,False,True,True,4,V0V2_full_scan,440.0,|Im(a)| peak = 6.07
495.385965,7.6333,46.615,-1.5781,214.73,6.8016,-3.3142,3.0,7,0,ok,False,True,True,4,V0V2_full_scan,,
572.572084,1.7504,32.574,-1.8434,40.733,3.0493,-2.7996,3.0,7,0,ok,False,True,True,4,V0V2_full_scan,,
636.98863,6.4744,30.726,-1.0949,493.6,62.423,-0.80605,3.0,7,0,ok,False,True,True,4,V0V2_full_scan,,
741.775255,5.4216,33.067,-0.38047,86.107,-7.2471,-4.164,3.0,7,0,ok,False,True,True,4,V0V2_full_scan,,
985.481197,1.8578,38.934,-0.0882207,56.281,-1.8147,-2.5704,3.0,5,0,ok,False,True,True,4,V0V2_full_scan,,
1085.97069,3.0443,39.894,0.11196,98.334,-8.7194,-2.4701,3.0,5,0,ok,False,True,True,4,V0V2_full_scan,,
1085.97071,3.0442,39.896,0.112,98.334,-8.7225,-2.4701,3.0,5,0,ok,False,True,True,4,V0V2_full_scan,,
1180.78215,2.9271,40.306,-0.2054,65.479,3.2191,-3.6036,3.0,5,0,ok,False,True,True,4,V0V2_full_scan,,
1336.37745,14.76,37.375,3.5118,249.56,17.703,-4.4211,3.0,5,0,ok,False,True,True,4,V0V2_full_scan,,
1336.38444,14.58,37.906,3.8983,249.98,16.37,-4.4217,3.0,5,0,ok,False,True,True,4,V0V2_full_scan,,
1392.94864,0.53315,36.638,-2.067,14.128,6.2675,-2.7652,3.0,5,0,ok,False,True,True,4,V0V2_full_scan,,
1483.79125,14.844,43.42,-1.6997,398.82,-25.893,-3.2323,3.0,5,0,ok,False,True,True,4,V0V2_full_scan,,
1515.28964,6.3948,17.949,-1.1067,157.08,-11.197,-1.4614,3.0,5,0,ok,False,True,True,4,V0V2_full_scan,,
1757.20727,16.94,34.09,-0.0263929,2084.4,-8.6133,-0.55411,3.0,5,0,ok,False,True,True,4,V0V2_full_scan,,
1757.20727,16.946,34.082,-0.0264178,2084.4,-8.5956,-0.55416,3.0,5,0,ok,False,True,True,4,V0V2_full_scan,,
